R_outer (mm),R_inner (mm),width (mm),gap (mm),thickness (mm),frequency (GHz),bandwidth (GHz),R_avg,Q
7.5,7.3,0.2,0.02,0.01,4.8,0.032,7.4,150
7.5,7.3,0.2,0.02,0.015,4.84,0.036,7.4,134.4444444
7.5,7.3,0.2,0.02,0.02,4.852,0.04,7.4,121.3
7.5,7.3,0.2,0.02,0.025,4.84,0.044,7.4,110
7.5,7.3,0.2,0.02,0.03,4.788,0.04,7.4,119.7
7.5,7.3,0.2,0.02,0.035,4.8,0.044,7.4,109.0909091
7.5,7.3,0.2,0.02,0.04,4.784,0.04,7.4,119.6
7.5,7.3,0.2,0.02,0.045,4.724,0.044,7.4,107.3636364
7.5,7.3,0.2,0.02,0.05,4.744,0.04,7.4,118.6
7.5,7.3,0.2,0.02,0.055,4.764,0.048,7.4,99.25
7.5,7.3,0.2,0.02,0.06,4.756,0.044,7.4,108.0909091
7.5,7.3,0.2,0.02,0.065,4.752,0.048,7.4,99
7.5,7.3,0.2,0.02,0.07,4.724,0.048,7.4,98.41666667
7.5,7.3,0.2,0.02,0.075,4.74,0.048,7.4,98.75
7.5,7.3,0.2,0.02,0.08,4.708,0.048,7.4,98.08333333
7.5,7.3,0.2,0.2,0.01,5.24,0.04,7.4,131
7.5,7.3,0.2,0.2,0.015,5.25,0.04,7.4,131.25
7.5,7.3,0.2,0.2,0.02,5.255,0.04,7.4,131.375
7.5,7.3,0.2,0.2,0.025,5.27,0.045,7.4,117.1111111
7.5,7.3,0.2,0.2,0.03,5.235,0.045,7.4,116.3333333
7.5,7.3,0.2,0.2,0.035,5.295,0.045,7.4,117.6666667
7.5,7.3,0.2,0.2,0.04,5.265,0.05,7.4,105.3
7.5,7.3,0.2,0.2,0.045,5.325,0.05,7.4,106.5
7.5,7.3,0.2,0.2,0.05,5.35,0.055,7.4,97.27272727
7.5,7.3,0.2,0.2,0.055,5.305,0.055,7.4,96.45454545
7.5,7.3,0.2,0.2,0.06,5.3,0.05,7.4,106
7.5,7.3,0.2,0.2,0.065,5.31,0.055,7.4,96.54545455
7.5,7.3,0.2,0.2,0.07,5.32,0.055,7.4,96.72727273
7.5,7.3,0.2,0.2,0.075,5.36,0.06,7.4,89.33333333
7.5,7.3,0.2,0.2,0.08,5.35,0.06,7.4,89.16666667
7.5,7.3,0.2,1,0.01,5.842,0.051,7.4,114.5490196
7.5,7.3,0.2,1,0.015,5.839,0.051,7.4,114.4901961
7.5,7.3,0.2,1,0.02,5.839,0.054,7.4,108.1296296
7.5,7.3,0.2,1,0.025,5.86,0.057,7.4,102.8070175
7.5,7.3,0.2,1,0.03,5.875,0.057,7.4,103.0701754
7.5,7.3,0.2,1,0.035,5.869,0.06,7.4,97.81666667
7.5,7.3,0.2,1,0.04,5.872,0.06,7.4,97.86666667
7.5,7.3,0.2,1,0.045,5.878,0.06,7.4,97.96666667
7.5,7.3,0.2,1,0.05,5.878,0.06,7.4,97.96666667
7.5,7.3,0.2,1,0.055,5.881,0.063,7.4,93.34920635
7.5,7.3,0.2,1,0.06,5.89,0.063,7.4,93.49206349
7.5,7.3,0.2,1,0.065,5.896,0.066,7.4,89.33333333
7.5,7.3,0.2,1,0.07,5.911,0.066,7.4,89.56060606
7.5,7.3,0.2,1,0.075,5.89,0.066,7.4,89.24242424
7.5,7.3,0.2,1,0.08,5.911,0.066,7.4,89.56060606
7.5,7.3,0.2,2,0.01,6.38,0.055,7.4,116
7.5,7.3,0.2,2,0.015,6.385,0.055,7.4,116.0909091
